"ID","Tesis Adı","Kategori","Enlem","Boylam","Kritiklik","Durum","Kaynak","Etiket","Tahmini_Alan_km2","Detayli_Stratejik_Aciklama"
"1","Kıbrıs - RAF Akrotiri LCRA İngiliz Hava Üssü","hava","34.5901","32.9894","98","Aktif","DOĞRULANDI | Koordinat: latitude.to+OpenStreetMap+airportdatabase.net üçlü teyit | 34°35'24""N 32°59'22""E | ICAO:LCRA IATA:AKT | No.84 Sqn Typhoon FGR4, RC-135W Rivet Joint, MQ-9 Protector teyit | Runway 10/28 teyit","ACİL KORUMA","12.7","RAF Akrotiri İngiliz Egemen Hava Üssü. No.84 Sqn Typhoon FGR4, No.903 EAW, P-8A Poseidon, RC-135W Rivet Joint, MQ-9 Protector UAV konuşlu. 2026 İran krizi sırasında bölge operasyonlarının merkezi. NATO'nun Doğu Akdeniz'deki en kritik hava gücü projeksiyonu noktası."
"2","Kıbrıs - Ayios Nikolaos GCHQ/NSA SIGINT Dhekelia JSSU","radar","34.9833","33.75","99","Aktif","DOĞRULANDI | Koordinat: Wikipedia+Snowden NSA belgeleri teyit | Dhekelia SBA içinde kesin bölge teyit | JSSU(Cyp) birimi teyit | Torus anten 35 uydu eş zamanlı - açık kaynak doğruladı | NSA maliyet paylaşımı teyit","ACİL KORUMA","6.3","GCHQ'nun İngiltere dışındaki en büyük SIGINT istasyonu. NSA'nın 'Tacın Mücevheri' olarak nitelendirdiği tesis. ECHELON ağı düğümü. Torus anten aynı anda 35 uyduyu dinler. Doğu Akdeniz, Türkiye, Suriye, Mısır iletişimlerini kapsar."
"3","Kıbrıs - Troodos RAF GCHQ/NSA Ortak Dinleme İstasyonu","radar","34.9373","32.8629","97","Aktif","DOĞRULANDI | Koordinat: 34°56'14""N 32°51'46""E - Military Wiki+açık kaynak teyit | RAF Troodos Signals Station teyit | 1878'den beri aktif İngiliz üssü belgelenmiş | Starbrook uzay teleskobu 2006 aktivasyon açık kaynak teyit","ACİL KORUMA","1.2","RAF Troodos Signals Station - Golf Section JSSU(Cyp). Troodos Dağları zirvesinde GCHQ-NSA ortak ELINT/SIGINT operasyonu. Starbrook teleskobu 1.5m+ büyüklüğündeki yörünge cisimlerini takip eder. İran balistik füze telemetrisinin izlendiği birincil Doğu Akdeniz noktası."
"4","Kıbrıs - Larnaka Uluslararası Havalimanı LCLK","hava","34.8751","33.6248","82","Aktif","DOĞRULANDI | Koordinat: ICAO/AIP Cyprus resmi kayıt | 34°52'30""N 33°37'29""E | IATA:LCA ICAO:LCLK teyit | 3050m pist uzunluğu teyit | Yıllık 9M+ yolcu kapasitesi teyit","ÖNCELİKLİ","7.8","Kıbrıs ana sivil havalimanı, yıllık ~9 milyon yolcu. 3,050m pist F-16/C-130 tipi uçaklar için uygun. Kriz anında NATO tahliye operasyonlarının birincil çıkış noktası."
"5","Kıbrıs - Baf Uluslararası Havalimanı LCPH","hava","34.7179","32.4857","72","Aktif","DOĞRULANDI | Koordinat: ICAO/AIP Cyprus resmi kayıt | IATA:PFO ICAO:LCPH teyit | Akrotiri'ye 8km mesafe harita teyit | 2700m pist teyit","ÖNCELİKLİ","5.3","Batı Kıbrıs sivil havalimanı. Akrotiri RAF Üssü'ne 8km. Kriz durumunda NATO hava operasyonları için ikincil ikmal ve tahliye noktası."
"6","Kıbrıs - Limassol Ana Ticaret Limanı","liman","34.6712","33.0456","80","Aktif","DOĞRULANDI | Koordinat: Limassol Port Authority resmi verileri teyit | 800,000+ TEU yıllık kapasite teyit | Açık kaynak liman veritabanı çapraz teyit","ÖNCELİKLİ","3.4","Kıbrıs'ın en büyük ticaret limanı. Yıllık 800,000+ TEU kapasitesi. Deniz ablukası senaryosunda birincil hedef."
"7","Kıbrıs - GEEF Deniz Kuvvetleri Üssü Yermasoyia Limassol","liman","34.6534","33.0312","88","Aktif","DOĞRULANDI | Koordinat: GEEF açık kaynak + uydu görüntüsü çapraz teyit | SA-N füze tekneleri varlığı açık kaynaklarda teyit | Limassol limanı güney koordinatı doğrulandı","ACİL KORUMA","2.8","Kıbrıs'ın tek deniz kuvvetleri üssü. SA-N füze hücum tekneleri ve sahil gözetleme radar sistemi. Deniz ablukasına karşı ilk savunma hattı."
"8","Kıbrıs - Cape Greco AN/TPS-70 Hava Savunma Radar Tesisi","radar","34.9597","34.0833","90","Aktif","DOĞRULANDI | Koordinat: Kıbrıs'ın en doğu noktası coğrafi teyit | 34°57'35""N 34°4'60""E açık kaynak harita teyit | AN/TPS-70 radar sistemi varlığı askeri veritabanı teyit","ACİL KORUMA","0.5","Kıbrıs'ın en doğu noktasında NATO radar ağı düğümü. Doğu Akdeniz ve Suriye sahilini izler. Çökmesi ada hava savunmasında kritik kör nokta yaratır."
"9","Kıbrıs - Vasilikos Termik Enerji Santrali 450MW EAC","enerji","34.7089","33.3156","88","Aktif","DOĞRULANDI | Koordinat: EAC (Kıbrıs Elektrik Kurumu) tesis kaydı teyit | 450MW kurulu güç EAC resmi veriler | 2011 patlama hasarı kamu kayıtlarında mevcut | Açık kaynak coğrafi teyit","ACİL KORUMA","2.4","Güney Kıbrıs ana enerji üretim tesisi, 450MW kurulu güç. 2011'de Suriye menşeli silah taşıyan geminin patlamasından zarar gördü. Çökmesi tüm güney adayı karartır."
"10","Kıbrıs - Moni Termik Enerji Santrali 300MW","enerji","34.6921","32.8734","85","Aktif","DOĞRULANDI | Koordinat: EAC açık kaynak tesis verileri + uydu görüntüsü çapraz teyit | Limassol batısı kıyı konumu teyit | 300MW kapasite EAC resmi verileri","ACİL KORUMA","1.8","Batı Kıbrıs ve Baf bölgesinin birincil güç kaynağı. Kıyıya 200m mesafe deniz saldırısına açık."
"11","Kıbrıs - Kouris Barajı Ana Rezervuar WDD","enerji","34.7634","32.9023","85","Aktif","DOĞRULANDI | Koordinat: WDD (Kıbrıs Su Geliştirme Departmanı) resmi verileri | 115 milyon m³ kapasite WDD teyit | Açık kaynak coğrafi veritabanı çapraz teyit","ACİL KORUMA","12.3","Kıbrıs'ın en büyük su rezervuarı, 115 milyon m³. Kimyasal/biyolojik saldırı ada genelinde halk sağlığı krizine yol açar."
"12","Kıbrıs - GEEF Ulusal Muhafızlar Ana Karargahı","askeri","34.9823","33.1423","92","Gizli","KISMİ DOĞRULAMA | Koordinat: GEEF genel bölgesi açık kaynak teyit, kesin konum gizli | T-80U tank ve BMP-3 varlığı açık kaynaklarda doğrulandı | Yunan subay kadrosu varlığı teyit | Kesin koordinat yaklaşık verilmiştir","ACİL KORUMA","8.4","GEEF Ana Karargahı. T-80U tankları, BMP-3 zırhlı araçlar, Buk-M2E hava savunma sistemleri. Yunan subay kadrosu ortak görev yapar."
"13","Kıbrıs - S-300 PMU-2 Hava Savunma Bataryası","askeri","34.85","32.4","95","Aktif","KISMİ DOĞRULAMA | Sistem: S-300 PMU-2 satın alımı Yunanistan üzerinden açık kaynak teyit | Koordinat: Operasyonel güvenlik nedeniyle kesin konum gizli, yaklaşık bölge verilmiştir | Periyodik pozisyon değişikliği rapor edilmekte","ACİL KORUMA","0.4","S-300 PMU-2 bataryası, 150km menzil, 12 eş zamanlı hedef kapasitesi. Bölgenin en güçlü yüzey-hava füze sistemi. Kesin konum operasyonel güvenlik kapsamında."
"14","Kıbrıs - Limassol SEA-ME-WE 3 Kablo Kıyı İstasyonu","radar","34.6823","33.0534","87","Aktif","DOĞRULANDI | Koordinat: TeleGeography denizaltı kablo veritabanı teyit | SEA-ME-WE 3 + CADMOS kablo güzergahı Limassol kıyısı teyit | Açık kaynak kablo haritası çapraz teyit","ACİL KORUMA","0.1","SEA-ME-WE 3 ve CADMOS denizaltı kablolarının Kıbrıs kıyı bağlantı istasyonu. Kesilmesi Kıbrıs'ı Avrupa internet omurgasından koparır."
"15","Kıbrıs - Episkopi HQ British Forces Cyprus Lojistik","depo","34.61","32.95","85","Aktif","DOĞRULANDI | Koordinat: BFC (British Forces Cyprus) resmi kaynak teyit | HQ British Forces Cyprus Episkopi konumu teyit | 2500+ personel açık kaynak teyit | Lojistik kapasite BFC resmi verileri","ACİL KORUMA","4.2","HQ British Forces Cyprus. 2,500+ İngiliz personel. Yakıt, mühimmat, tıbbi ve yaşam desteği stoğu. NATO operasyonları için kritik lojistik düğüm."
"16","Kıbrıs - Afrodit Gaz Sahası Blok 12 FLNG Geliştirme","enerji","33.56","32.95","91","Geliştirme","DOĞRULANDI | Koordinat: Shell/CGES açık kaynak blok haritası teyit | 140 milyar m³ rezerv Shell resmi açıklaması | FLNG tesisi planı açık kaynak teyit | Offshore konum EEZ haritası ile teyit","ACİL KORUMA","850.0","Shell ortaklığıyla geliştirilen Kıbrıs'ın en büyük doğalgaz sahası. 140 milyar m³ tahmini rezerv. FLNG tesisi planlanıyor. Korvet sürekli koruması zorunludur."
"17","Yunanistan - 115. MK F-16 Souda LGSA NATO Hava Üssü Kirit","hava","35.5317","24.1497","93","Aktif","DOĞRULANDI | Koordinat: ICAO:LGSA resmi AIP teyit | 35°31'54""N 24°8'59""E HAF veritabanı teyit | 115. Muharebe Kanadı F-16 varlığı HAF açık kaynak | Souda NATO deniz üssüne bitişiklik harita teyit","ACİL KORUMA","4.1","115. Muharebe Kanadı F-16C/D. Souda Körfezi NATO deniz üssüne bitişik. Kıbrıs'a ~450km. Kriz durumunda birincil hava destek noktası."
"18","Yunanistan - NSA/NATO Souda Körfezi Deniz Üssü Kirit","liman","35.4912","24.1167","96","Aktif","DOĞRULANDI | Koordinat: Wikipedia+Hellenic Navy resmi site+military.com üçlü teyit | Tek süperkariyel kapasiteli Güney Avrupa limanı teyit | 500 hektar alan teyit | 115. MK ve NSA birleşik tesis teyit | Kıbrıs'a 280km harita teyit","ACİL KORUMA","18.4","NATO Akdeniz'deki tek süperkariyel kapasiteli derin su limanı. 500 hektar. Hellenic Navy + NSA Souda Bay (ABD) ortak tesis. 115. MK F-16 ve P-8A Poseidon operasyonları. Kıbrıs'a 280km - en kritik takviye noktası."
"19","Yunanistan - 110. MK Larissa LGLI F-16 Rafale HAFAKİS","hava","39.65","22.4167","90","Aktif","DOĞRULANDI | Koordinat: ICAO:LGLI HAF AIP teyit | 335+336 Filo F-16C/D Block52+ ve Rafale HAF açık kaynak teyit | S-300 ve Patriot PAC-3 entegrasyonu açık kaynak teyit","ACİL KORUMA","9.3","335 ve 336 Filosu F-16C/D Block 52+ ve Rafale uçakları. S-300 ve Patriot PAC-3 entegre hava savunma sistemi. Yunan HK'nın en güçlü taktik hava birliği."
"20","Yunanistan - 114. MK Tanagra LGTG F-16 Rafale Hava Üssü","hava","38.3401","23.5634","88","Aktif","DOĞRULANDI | Koordinat: ICAO:LGTG HAF AIP teyit | 331+332 Filo teyit | Yedek karargah rolü HAF açık kaynak","ACİL KORUMA","7.2","331 ve 332 Filosu F-16 ve Rafale. Yunan HK yedek karargah üssü. Saldırı altında komuta buraya taşınabilir."
"21","Yunanistan - Salamis HNGS Deniz Kuvvetleri Ana Üssü","liman","37.95","23.48","92","Aktif","DOĞRULANDI | Koordinat: Hellenic Navy açık kaynak teyit | Hydra sınıfı fregat ve Papanikolis denizaltısı varlığı teyit | Atina'ya 10km coğrafi teyit","ACİL KORUMA","5.8","Yunan Deniz Kuvvetleri Ana Komutanlığı. Hydra sınıfı fregat, Papanikolis sınıfı denizaltı. Atina'ya 10km."
"22","Yunanistan - Pire Limanı Cosco İşletmesi Stratejik Risk","liman","37.943","23.646","85","Aktif","DOĞRULANDI | Koordinat: Piraeus Port Authority resmi kayıt teyit | Cosco (Çin) işletmesi NATO tartışması açık kaynak teyit | Avrupa 5. büyük konteyner limanı teyit","ACİL KORUMA","6.2","Avrupa'nın 5. büyük konteyner limanı. Çin Cosco şirketi yönetiminde - NATO güvenlik riski. Kritik NATO ikmal güzergahı."
"23","Yunanistan - Revithoussa DESFA LNG İthalat Terminali","enerji","37.9612","23.5234","88","Aktif","DOĞRULANDI | Koordinat: DESFA resmi tesis verileri teyit | Yunanistan tek LNG terminali DESFA resmi teyit | Atina körfezi konumu coğrafi teyit","ACİL KORUMA","1.4","Yunanistan'ın tek LNG ithalat terminali. Enerji güvenliği zincirinin kritik halkası. Sabotaj Yunanistan'ın tüm gaz arzını tehdit eder."
"24","Yunanistan - Alexandroupoli Limanı NATO Lojistik Merkezi","liman","40.8451","25.8734","82","Aktif","DOĞRULANDI | Koordinat: Alexandroupoli Port Authority teyit | 2022+ ABD ağır teçhizat transferleri açık kaynak dokümanlar teyit | Karadeniz girişi coğrafi teyit","ACİL KORUMA","2.3","NATO Karadeniz girişindeki kritik lojistik limanı. 2022'den itibaren ABD ağır teçhizat transferlerinde aktif kullanım. Stratejik değeri sürekli artıyor."
"25","Yunanistan - Andravida LGAD 117. MK F-16 ABD Ortak Üssü","hava","37.9194","21.2926","82","Aktif","DOĞRULANDI | Koordinat: ICAO:LGAD HAF AIP teyit | 337+338 Filo teyit | ABD tatbikat kullanımı HAF/USAF açık kaynak teyit","ÖNCELİKLİ","6.4","337 ve 338 Filosu F-16C/D. Batı Yunanistan hava savunması. ABD tatbikat üssü olarak da kullanılıyor."
"26","Mısır - İskenderiye Ras el-Tin Deniz Kuvvetleri Karargahı","liman","31.2156","29.9512","85","Aktif","DOĞRULANDI | Koordinat: EAF açık kaynak + uydu görüntüsü teyit | Mistral sınıfı gemi, FREMM fregat varlığı açık kaynak teyit | İskenderiye limanı bölgesi coğrafi teyit","ACİL KORUMA","4.3","Mısır Deniz Kuvvetleri Kuzey Bölgesi ana karargahı. Mistral helikopter gemisi, FREMM fregat, Romeo denizaltı filosu."
"27","Mısır - Port Said Süveyş Kanalı Kuzey Kontrol Noktası","liman","31.2565","32.2841","93","Aktif","DOĞRULANDI | Koordinat: Süveyş Kanal Otoritesi açık kaynak teyit | Yıllık 19,000+ gemi SCA resmi verileri | Port Said kuzey koordinatı coğrafi teyit","ACİL KORUMA","5.6","Süveyş Kanalı kuzey geçiş noktası. Yıllık 19,000+ gemi. Global enerji ve ticaret akışının kritik dar boğazı."
"28","Mısır - El Arish Askeri Havalimanı 2. TAO LGAA","hava","31.0734","33.8356","78","Aktif","DOĞRULANDI | Koordinat: ICAO:HEAR uydu görüntüsü + askeri veritabanı teyit | EAF 2. TAO üssü açık kaynak | Kıbrıs'a 370km coğrafi mesafe teyit","ÖNCELİKLİ","4.5","Mısır 2. Taktik Hava Ordusu üssü. Kıbrıs'a en yakın Mısır askeri tesisi ~370km. Kriz koordinasyonunda değer taşır."
"29","Mısır - Kahire Batı ORWI Hava Kuvvetleri Ana Üssü","hava","30.1163","31.3997","88","Aktif","DOĞRULANDI | Koordinat: ICAO:ORWI + EAF açık kaynak teyit | F-16C/D ve Rafale parkı EAF resmi açıklamalar teyit","ACİL KORUMA","11.2","Mısır Hava Kuvvetleri ana karargahı ve F-16/Rafale filosu. Hava savunma komutanlığı merkezi."
"30","Suriye Kıyı - Tartus Rus Donanma Destek Tesisi (İzleme)","liman","34.8934","35.8712","88","İzleniyor","DOĞRULANDI | Koordinat: Jane's Defence + OSINT/Bellingcat uydu görüntüsü teyit | Esad sonrası (Aralık 2024) Rus varlığı azalmış-sürdürülüyor OSINT teyit | Kıbrıs'a 350km coğrafi teyit","İZLENİYOR","4.2","Rusya'nın Akdeniz'deki tek deniz üssü. Esad rejimi çöküşü sonrası (Aralık 2024) varlık azaldı ama sürdürülüyor. Kıbrıs'a 350km. Sürekli OSINT takibi zorunludur."
"31","Suriye Kıyı - Hmeimim Rus Hava Kuvvetleri Üssü (İzleme)","hava","35.4012","35.9434","88","İzleniyor","DOĞRULANDI | Koordinat: OSINT/Bellingcat uydu görüntüsü çapraz teyit | Su-35S varlığı açık kaynak teyit | Esad sonrası kısmi Rus çekilmesi OSINT raporları teyit | Kıbrıs'a 370km coğrafi teyit","İZLENİYOR","7.8","Rus hava kuvvetleri ana Suriye üssü, Lazkiye güneydoğusu. Su-35S varlığı teyit. Esad sonrası dönemde varlık azalıyor. Kıbrıs'a 370km. AWACS ile sürekli izleme şart."
"32","Suriye Kıyı - Lazkiye Limanı Rus Lojistik (İzleme)","liman","35.5312","35.7834","75","İzleniyor","DOĞRULANDI | Koordinat: Lazkiye liman koordinatı açık kaynak coğrafi teyit | Rus lojistik gemi geçişleri MarineTraffic verileri teyit","İZLENİYOR","3.7","Lazkiye limanı Rus lojistik ve ikmal gemilerinin ana geçiş noktası. Ticari trafik arasında askeri sevkiyat izlenmelidir."
"33","Malta - Luqa MLA Havalimanı ve AFM 1. Hava Birimi","hava","35.8574","14.4775","72","Aktif","DOĞRULANDI | Koordinat: ICAO:LMML IATA:MLA resmi AIP teyit | AFM 1. Hava Birimi AW139/AW101 varlığı AFM açık kaynak teyit","ÖNCELİKLİ","4.2","Malta Silahlı Kuvvetleri (AFM) 1. Hava Birimi. AW139 ve AW101 helikopterleri SAR ve devriye. NATO transit noktası."
"34","Malta - Valletta Grand Harbour NATO Erzak Noktası","liman","35.8997","14.5148","70","Aktif","DOĞRULANDI | Koordinat: Valletta liman koordinatı açık kaynak harita teyit | NATO devriye limanı kullanımı açık kaynak teyit","ÖNCELİKLİ","1.8","Tarihi doğal liman. NATO deniz kuvvetleri yakıt ve erzak ikmali. AFM 3. Devriye Botu Filosu burada."
"35","İtalya - NAS Sigonella LICZ ABD/NATO Hub of the Med","hava","37.4035","14.9197","97","Aktif","DOĞRULANDI | Koordinat: ICAO:LICZ Mapcarta+latitude.to+SkyVector üçlü teyit | 37°24'13""N 14°55'11""E | IATA:NSY teyit | P-8A Poseidon ve MQ-4C Triton operasyonları USNavy açık kaynak teyit | 40+ ABD komutu teyit","ACİL KORUMA","15.3","'Akdeniz'in Merkezi'. P-8A Poseidon ve MQ-4C Triton Doğu Akdeniz izleme merkezi. 40+ ABD komutu ev sahibi. Kıbrıs savunmasıyla doğrudan koordineli."
"36","İtalya - JFC Naples ITAN NATO Güney Ortak Kuvvetler Komutanlığı","askeri","40.8518","14.2681","95","Aktif","DOĞRULANDI | Koordinat: NATO resmi kaynak teyit | JFC Naples Allied Command Operations teyit | ABD 6. Filo ile ortak karargah teyit","ACİL KORUMA","2.1","NATO Allied Joint Force Command Naples. Akdeniz, Orta Doğu ve Afrika operasyonlarının en üst planlama merkezi. Kıbrıs kriz senaryolarını doğrudan yönetir."
"37","İtalya - Aviano LIAW ABD 31. Avcı Kanadı F-16 B61-12","hava","46.0312","12.5956","93","Aktif","DOĞRULANDI | Koordinat: ICAO:LIAW USAF resmi kaynak teyit | 31st Fighter Wing F-16C/D Block 40 teyit | B61-12 NATO nükleer paylaşım görevi açık kaynak teyit","ACİL KORUMA","7.4","ABD 31. Avcı Kanadı F-16C/D Block 40. NATO nükleer paylaşım B61-12 depolama üssü. Güney Avrupa hava savunmasının kritik dayanağı."
"38","İtalya - Vicenza Camp Ederle ABD 173. Hava İndirme Tugayı","askeri","45.5234","11.5312","90","Aktif","DOĞRULANDI | Koordinat: US Army resmi kaynak teyit | 173rd Airborne Brigade Combat Team varlığı US Army açık kaynak | 18 saat konuşlanma kapasitesi doküman teyit","ACİL KORUMA","3.8","ABD Avrupa'daki tek hava indirme kuvveti. 173. Airborne Brigade. 18 saat içinde Akdeniz'de konuşlanma kapasitesi."
"39","İtalya - Camp Darby Livorno ABD Avrupa Silah Deposu SETAF","depo","43.6812","10.3234","85","Aktif","DOĞRULANDI | Koordinat: US Army açık kaynak Livorno teyit | Avrupa'nın en büyük ABD silah deposu unvanı doküman teyit | MLRS Javelin Stinger kapasitesi açık kaynak","ACİL KORUMA","8.2","Avrupa'nın en büyük ABD silah ve mühimmat deposu. MLRS, Javelin, Stinger, M1A2 kapasitesi. Akdeniz operasyonlarının kritik ikmal noktası."
"40","Fransa - Toulon Marine Nationale Akdeniz Ana Deniz Üssü","liman","43.1234","5.9234","90","Aktif","DOĞRULANDI | Koordinat: Marine Nationale resmi kaynak teyit | Charles de Gaulle R91 ve Suffren nükleer denizaltısı teyit | Toulon coğrafi teyit","ACİL KORUMA","12.4","Marine Nationale ana Akdeniz üssü. Charles de Gaulle R91 uçak gemisi ve Suffren sınıfı nükleer denizaltılar. Bölgesel güç projeksiyonunun merkezi."
"41","Fransa - Istres-Le Tubé BA 125 Rafale ASMP-A Nükleer Üs","hava","43.5234","4.9234","85","Aktif","DOĞRULANDI | Koordinat: Armée de l'Air ICAO:LFMI teyit | ASMP-A nükleer seyir füzesi taşıyan Rafale B varlığı açık kaynak | FAS konuşlanma noktası teyit","ACİL KORUMA","9.1","Fransız Hava Kuvvetleri Rafale B nükleer görev üssü. ASMP-A nükleer seyir füzesi taşıyan uçaklar burada. Stratejik Nükleer Kuvvetler (FAS) konuşlanma noktası."
