ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Detayli_Stratejik_Aciklama,Bağlı_Olduğu_Üs
1,Ürdün - Muwaffaq Salti Hava Üssü | Ana Pist - Kuzey Düğümü #1,hava,31.831457,36.787549,98,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Ana Pist - Kuzey Düğümü. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 555 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
2,Ürdün - Muwaffaq Salti Hava Üssü | Ana Pist - Güney Düğümü #1,hava,31.832292,36.785945,98,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Ana Pist - Güney Düğümü. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max -555 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
3,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #1,hava,31.840567,36.786404,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
4,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #2,hava,31.8422,36.78879,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
5,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #3,hava,31.824924,36.786943,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
6,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #4,hava,31.824149,36.798391,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
7,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #5,hava,31.84573,36.784048,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
8,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #6,hava,31.830426,36.794432,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
9,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #7,hava,31.827893,36.780283,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
10,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #8,hava,31.827526,36.784328,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
