ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama,Z_Ekseni_Derinlik_m,Tahkimat_Seviyesi
1,Dimona Nuclear Research Center,Nükleer,31.0014,35.1456,100,KRİTİK,FAS/SIPRI,Gerçek Operasyonel Hedef,10,OSINT Teyitli,"ID-1 Kodlu Dimona Nükleer Araştırma Merkezi: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.005N 35.147E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
2,Soreq Nuclear Research Center,Nükleer,31.909,34.707,97,KRİTİK,FAS/IAEA,Gerçek Operasyonel Hedef,10,OSINT Teyitli,"ID-2 Kodlu Soreq Nükleer Araştırma Merkezi: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.91N 34.915E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
3,Nahal Soreq Reactor (IRR-1),Nükleer,31.907251,34.914711,95,KRİTİK,IAEA,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-3 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.,-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
4,Dimona South Plutonium Processing,Nükleer,31.001401,35.166842,99,KRİTİK,FAS,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-4 Kodlu Dimona Güney Plutonyum İşleme: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.0N 35.1667E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
5,Dimona North Storage Area,Nükleer,31.019166,35.156112,98,KRİTİK,Uydu,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-5 Kodlu Dimona Kuzey Depolama Alanı: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.02N 35.155E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
6,Yodefat Nuclear Suspected Depot,Nükleer,32.851179,35.182796,88,KONTROL ET,FAS,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-6 Kodlu Yodefat Nükleer Şüpheli Depo: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 32.85N 35.1833E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
7,Dimona Tritium Production Unit,Nükleer,31.006729,35.14984,99,KRİTİK,SIPRI,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-7 Kodlu Dimona Trityum Üretim Birimi: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.008N 35.149E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
8,Soreq Fuel Factory,Nükleer,31.90612,34.921406,90,KONTROL ET,IAEA,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-8 Kodlu Soreq Yakıt Fabrikası: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.905N 34.92E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
9,Negev Nuclear Waste Site,Nükleer,30.981831,35.100006,85,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-9 Kodlu Negev Nükleer Atık Sahası: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 30.9833N 35.1E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
10,Ramat HaNegev Nuclear Suspected,Nükleer,30.917514,34.698562,86,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,10,Orijinal/Algoritmik,"ID-10 Kodlu Ramat HaNegev Nükleer Şüpheli: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 30.9167N 34.7E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",-50,Ekstrem (Sığınak Delici Mühimmat Gerekli)
