ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Detayli_Stratejik_Aciklama,Bağlı_Olduğu_Üs
1,Dimona Nükleer Araştırma Merkezi,nukleer,31.005,35.147,100,Doğrulandı,FAS/SIPRI,Gerçek Operasyonel Hedef,10.0,"ID-1 Kodlu Dimona Nükleer Araştırma Merkezi: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.005N 35.147E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
2,Soreq Nükleer Araştırma Merkezi,nukleer,31.91,34.915,97,Doğrulandı,FAS/IAEA,Gerçek Operasyonel Hedef,10.0,"ID-2 Kodlu Soreq Nükleer Araştırma Merkezi: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.91N 34.915E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
3,Nahal Soreq Reaktörü (IRR-1),nukleer,31.9072,34.9147,95,Doğrulandı,IAEA,Gerçek Operasyonel Hedef,1.0,ID-3 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
4,Dimona Güney Plutonyum İşleme,nukleer,31.0,35.1667,99,Doğrulandı,FAS,Gerçek Operasyonel Hedef,10.0,"ID-4 Kodlu Dimona Güney Plutonyum İşleme: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.0N 35.1667E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
5,Dimona Kuzey Depolama Alanı,nukleer,31.02,35.155,98,Doğrulandı,Uydu,Gerçek Operasyonel Hedef,10.0,"ID-5 Kodlu Dimona Kuzey Depolama Alanı: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.02N 35.155E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
6,Yodefat Nükleer Şüpheli Depo,nukleer,32.85,35.1833,88,KONTROL ET,FAS,Gerçek Operasyonel Hedef,10.0,"ID-6 Kodlu Yodefat Nükleer Şüpheli Depo: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 32.85N 35.1833E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
7,Dimona Trityum Üretim Birimi,nukleer,31.008,35.149,99,Doğrulandı,SIPRI,Gerçek Operasyonel Hedef,10.0,"ID-7 Kodlu Dimona Trityum Üretim Birimi: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.008N 35.149E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
8,Soreq Yakıt Fabrikası,nukleer,31.905,34.92,90,KONTROL ET,IAEA,Gerçek Operasyonel Hedef,10.0,"ID-8 Kodlu Soreq Yakıt Fabrikası: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 31.905N 34.92E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
9,Negev Nükleer Atık Sahası,nukleer,30.9833,35.1,85,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,10.0,"ID-9 Kodlu Negev Nükleer Atık Sahası: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 30.9833N 35.1E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
10,Ramat HaNegev Nükleer Şüpheli,nukleer,30.9167,34.7,86,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,10.0,"ID-10 Kodlu Ramat HaNegev Nükleer Şüpheli: İsrail'in stratejik caydırıcılık hiyerarşisinin en üst düğümü. 30.9167N 34.7E koordinatlarında yer alan bu tesis, nükleer yakıt döngüsü ve 'Samson Option' doktrini için kritiktir. Vurulması durumunda bölgesel radyolojik kirlenme riski %95'in üzerindedir. Tesis, Arrow-3 bataryaları ve 'Magen Or' lazer sistemleri ile 360 derece korunmaktadır. Yeraltı yapısı sığınak delici füzeler için özel olarak güçlendirilmiş betonarme katmanlara sahiptir.",İsrail Ulusal Ağ
